,city,latitude,longitude,time dt,timezone,temperature,humidity_perc,cloudiness_perc,wind_speed
307,tevaitoa,-16.78,-151.5,1561595496,-36000,80.18,73,1,5.21
308,abha,18.22,42.5,1561595497,10800,71.6,19,0,1.32
309,semporna,4.48,118.61,1561595498,28800,82.4,88,75,2.24
310,obregon,11.96,-85.96,1561595499,-21600,77.38,74,40,11.41
311,abalak,15.46,6.28,1561595501,3600,90.08,43,70,11.21
312,champerico,16.38,-93.6,1561595502,-18000,78.8,74,90,5.82
313,kanturk,52.18,-8.91,1561595503,3600,60.44,82,20,17.22
314,alamogordo,32.9,-105.96,1561595391,-21600,82.09,14,1,12.75
315,kauhajoki,62.43,22.18,1561595506,10800,54.5,100,90,3.29
316,laguna,16.17,-88.94,1561595507,-21600,84.2,79,40,4.7
317,opuwo,-18.06,13.84,1561595508,7200,45.98,81,28,1.39
319,visnes,59.36,5.22,1561595511,7200,52.36,93,64,13.87
320,kargasok,59.06,80.87,1561595239,25200,57.68,97,100,4.38
323,hasaki,35.73,140.83,1561595516,32400,80.19,78,75,9.17
324,deputatskiy,69.3,139.9,1561595228,36000,72.62,28,0,7.76
325,mizan+teferi,6.99,35.58,1561595518,10800,60.92,97,21,3.65
326,yatou,3.63,9.81,1561595519,3600,75.2,100,75,12.24
327,tomatlan,19.93,-105.25,1561595521,-18000,83.24,74,91,10.13
328,mapiripan,2.89,-72.13,1561595522,-18000,74.6,93,68,4.32
329,merauke,-8.49,140.4,1561595523,32400,78.2,82,92,20
330,banda+aceh,5.56,95.32,1561595524,25200,83.42,75,100,14.03
331,urengoy,65.96,78.37,1561595526,18000,49.04,60,100,12.77
332,bali,32.29,119.4,1561595527,28800,77.45,83,82,3.29
333,rancho+san+diego,30.59,-112.28,1561595529,-25200,92.5,25,88,7
334,nador,35.17,-2.93,1561595530,3600,71.56,78,90,3.36
335,hami,42.84,93.51,1561595531,28800,70.64,19,0,14.94
336,aklavik,68.22,-135.01,1561595242,-21600,53.6,37,75,12.75
337,batken,40.06,70.82,1561595534,21600,67.22,33,65,4.83
338,butler,41.43,-84.87,1561595535,-14400,83.28,69,1,4.41
339,dongsheng,29.72,112.52,1561595536,28800,80.36,70,66,3.53
340,isla+mujeres,21.23,-86.73,1561595538,-18000,86,70,40,8.05
341,boras,57.72,12.94,1561595539,7200,57.88,93,75,5.82
343,camabatela,-8.19,15.37,1561595541,3600,55.34,90,31,1.7
344,constitucion,23.99,-104.67,1561595543,-18000,85.51,9,40,12.75
345,henties+bay,-22.12,14.28,1561595544,7200,55.99,90,53,5.99
347,bar+harbor,44.39,-68.2,1561595546,-14400,56.8,100,90,3.36
348,manzanillo,19.05,-104.32,1561595548,-18000,84.2,79,75,11.41
349,santiago+del+estero,-27.8,-64.26,1561595428,-10800,50.84,38,0,8.55
350,porto+walter,-8.27,-72.74,1561595545,-18000,75.68,78,69,2.57
351,le+port,42.87,1.37,1561595552,7200,71.64,21,0,1.01
352,prince+rupert,54.32,-130.32,1561595553,-25200,62.6,77,1,6.93
355,cabedelo,-6.97,-34.84,1561595557,-10800,73.4,94,0,5.82
356,lorengau,-2.02,147.27,1561595268,36000,83.06,79,82,5.73
357,buchanan,5.88,-10.05,1561595560,0,77,94,75,6.93
358,carupano,10.67,-63.26,1561595364,-14400,73.88,86,8,2.39
359,erdenet,49.03,104.04,1561595562,28800,50.12,77,12,7.94
360,aberdeen,46.98,-123.82,1561595378,-25200,64.31,68,1,13.87
361,rio+grande,-32.03,-52.1,1561595565,-10800,42.92,74,0,2.15
362,dickinson,46.88,-102.79,1561595050,-21600,81.59,36,1,6.93
363,chapleau,47.85,-83.4,1561595567,-14400,69.8,49,20,8.05
364,tombouctou,16.77,-3.01,1561595569,0,92.24,30,0,21.21
365,portland,43.66,-70.25,1561595570,-14400,63.41,82,40,5.82
366,takoradi,4.89,-1.75,1561595215,0,73.88,94,77,4.52
367,vega+de+alatorre,20.03,-96.65,1561595572,-18000,80.54,79,96,3.4
368,marquette,46.54,-87.4,1561595574,-14400,74.5,49,2,4.79
369,dibulla,11.27,-73.31,1561595575,-18000,91.4,46,0,13.87
370,kloulklubed,7.04,134.26,1561595232,32400,75.2,94,90,12.75
371,saint-francois,46.42,3.91,1561595578,7200,65.19,83,0,3.02
372,umm+kaddadah,13.6,26.69,1561595579,7200,87.74,35,0,9.93
373,dawlatabad,36.41,64.91,1561595580,16200,74.42,17,0,4.07
375,sur,22.57,59.53,1561595583,14400,82.7,69,47,10.89
376,gorlice,49.66,21.16,1561595584,7200,71.38,78,17,6.22
377,arrifes,37.77,-25.7,1561595585,0,64.4,72,20,11.41
379,tautira,-17.73,-149.15,1561595588,-36000,83.41,74,75,9.17
380,matara,-3.48,29.48,1561595589,7200,50.66,89,51,0.67
381,miraflores,5.2,-73.14,1561595591,-18000,53.18,99,12,2.04
382,katsuura,33.93,134.5,1561595242,32400,74.17,100,75,24.16
383,agadir,30.42,-9.58,1561595593,3600,66.2,82,40,3.36
384,lasa,34.92,32.53,1561595594,10800,71.47,94,0,12.75
385,broken+hill,-31.97,141.45,1561595596,34200,59,51,0,16.11
386,katherine,-14.47,132.26,1561595597,34200,69.8,35,55,9.17
387,vallenar,-28.58,-70.76,1561595598,-14400,50.66,73,0,1.79
388,la+ronge,55.1,-105.3,1561595599,-21600,64.4,68,40,4.7
389,luwuk,-0.95,122.79,1561595601,28800,66.68,95,100,4.38
390,belmonte,40.36,-7.35,1561595216,3600,63,67,0,1.59
392,berlevag,70.86,29.09,1561595604,7200,45.8,86,97,17.87
393,richards+bay,-28.77,32.06,1561595346,7200,68.66,70,16,20.15
394,matou,23.33,107.58,1561595607,28800,80,88,94,3.36
395,mandali,33.75,45.55,1561595608,10800,93.14,8,0,6.98
396,phan+thiet,10.93,108.1,1561595550,25200,77.66,78,88,7.7
397,brejinho,-6.2,-35.36,1561595611,-10800,75.2,83,20,6.93
398,pacific+grove,36.62,-121.92,1561595424,-25200,68.95,68,75,10.29
399,caxito,-22.65,-42.51,1561595613,-10800,73.4,78,0,4.7
400,katobu,-4.94,122.53,1561595615,28800,78.74,71,3,7.76
401,bambous+virieux,-20.34,57.76,1561595616,14400,73.17,94,75,10.29
402,coahuayana,18.62,-100.35,1561595323,-18000,83.96,65,68,2.98
403,los+andes,-32.83,-70.6,1561595603,-14400,47.61,57,0,4.7
404,sidhi,24.41,81.88,1561595619,19800,85.58,63,58,10.87
405,raudeberg,61.99,5.14,1561595621,7200,48.49,76,100,3.36
406,presidente+dutra,-5.29,-44.49,1561595622,-10800,75.5,67,44,3.4
407,peniche,39.36,-9.38,1561595623,3600,60.08,93,40,1.12
408,port+lincoln,-34.72,135.86,1561595625,34200,60.56,60,33,30.6
409,sorong,-0.86,131.25,1561595626,32400,80.18,82,100,10.63
410,komatipoort,-25.43,31.96,1561595627,7200,52,91,29,2.77
411,burns+lake,54.23,-125.76,1561595628,-25200,68.12,37,57,7.07
413,gamba,28.28,88.52,1561595631,28800,41.66,74,83,2.33
414,kudahuvadhoo,2.67,72.89,1561595632,18000,81.98,75,64,1.28
415,tsagan+aman,47.57,46.72,1561595633,10800,70.1,48,13,6.44
